id|userId|nickName|ratingAll|ratingLocation|ratingFacility|ratingService|ratingRoom|commentLevel|travelType|roomName|language|content|checkinDate|usefulCount|grade
722237021|"_TXXXdlgpqk8****"|"GuestUser"|5|5|5|5|5|Outstanding|"Solo travelers"|"Superior Double Room"|"en"|"Staff were very kind to switch my room as the one I got at first smelled odd. My favorite place to stay in Beijing.|"2023-01-30 23:59:00"|0|2
714947073|"E390847****"|"Boniswa"|5|5|5|5|5|Outstanding|"Friends"|"Superior Double Room"|"en"|"I had a great stay at this hotel. The staff members were great and my room was cleaned everyday throughout my stay.|"2023-01-22 23:59:00"|0|2
714285539|"_TSUSdyl6c3u****"|"GuestUser"|5|5|5|5|5|Outstanding|"Couples"|"Superior Double Room"|"en"|"amazing as always, even during holidays the staff made sure to maintain all standards, highly recommend.|"2023-01-21 23:59:00"|0|2
712410253|"E15616****"|"AnonymousUser"|4.5|5|4|5|4|Very Good|"Solo travelers"|"Superior Double Room"|"en"|"Good location and service. The room has all facilities, has a separate bathroom and toilet. The curtain is very good, it blocks the light well so you can get a good sleep. One advise for hotel would be dusting the area near the windows, it was slightly dusty when I stayed.|"2023-01-19 23:59:00"|0|2
714304799|"D232728****"|"Aya"|4|4|4|4|4|Good|"Solo travelers"|"Superior Double Room"|"en"|"It was a clean room, not spacious but a deal for the good location! I was happy with my stay and service.|"2023-01-18 23:59:00"|0|2
719565667|"_TTXX498297****"|"GuestUser"|5|5|5|5|5|Outstanding|"Solo travelers"|"Superior Double Room"|"en"|"It was beautiful.Smells so good. I love the fact that the bathroom is big.|"2023-01-28 23:59:00"|0|2
656181139|"_TXXXgl7tsam****"|"GuestUser"|4.7|4|5|5|5|Wonderful|"Family"|"Superior Family Room"|"en"|"Very nice hotel. Showers are great, bed is comfortable and service is super helpful. The location is close to the metro, and shopping mall area. Definedly a place to stay for a short visit to Beijing|"2022-11-05 23:59:00"|0|1
656015997|"_TXXXgkcw9tx****"|"GuestUser"|4.7|4|5|5|5|Wonderful|"Family"|"Superior Family Room"|"en"|"I want to leave a special review for the staff of the hotel which was amazingly friendly and supportive. They did everything they could to help us with any issue we had, and we had quite a few during this trip because of Covid19 Zero policy. The staff was really outstanding helping us while keeping their smile and I feel very lucky to have stayed in this hotel.  Aside from that, the hotel installations are modern, good shower, good bed.  I will definedly come back to CitiGO hotel|"2022-11-02 23:59:00"|0|1
721511495|"D430079****"|"TendaiChipo"|3.5|4|4|3|3|Fair|"Friends"|"Deluxe Smart Room (Queen bed)"|"en"|"Same food everyday but manageable|"2023-02-02 23:59:00"|0|2
664502267|"_WeChat257989****"|"ZhangJoanne"|4.5|4|5|4|5|Very Good|"Solo travelers"|"Superior Double Room"|"en"|"great experience , very clean rooms alittle small but overroll the stay was amazing|"2022-09-26 23:59:00"|0|1
